allotrope,r,elements,G(r),type
alpha,1.895,BAg,0,NNP
alpha,1.895,AgAg,0,NNP
alpha,1.905,BB,0.06371198978865635,NNP
alpha,1.905,BAg,0,NNP
alpha,1.905,AgAg,0,NNP
alpha,1.915,BB,0.053348901041299995,NNP
alpha,1.915,BAg,0,NNP
alpha,1.915,AgAg,0,NNP
alpha,1.925,BB,0.04325914778986901,NNP
alpha,1.925,BAg,0,NNP
alpha,1.925,AgAg,0,NNP
alpha,1.935,BB,0.03544386633272064,NNP
alpha,1.935,BAg,0,NNP
alpha,1.935,AgAg,0,NNP
alpha,1.945,BB,0.02904945216134482,NNP
alpha,1.945,BAg,0,NNP
alpha,1.945,AgAg,0,NNP
alpha,1.955,BB,0.024177858478181827,NNP
alpha,1.955,BAg,0,NNP
alpha,1.955,AgAg,0,NNP
alpha,1.965,BB,0.01949886958257485,NNP
alpha,1.965,BAg,0,NNP
alpha,1.965,AgAg,0,NNP
alpha,1.975,BB,0.016098668062635164,NNP
alpha,1.975,BAg,0,NNP
alpha,1.975,AgAg,0,NNP
alpha,1.985,BB,0.011805945605298771,NNP
alpha,1.985,BAg,0,NNP
alpha,1.985,AgAg,0,NNP
alpha,1.995,BB,0.009110245657613496,NNP
alpha,1.995,BAg,0,NNP
alpha,1.995,AgAg,0,NNP
alpha,2.005,BB,0.007069408806090668,NNP
alpha,2.005,BAg,0,NNP
alpha,2.005,AgAg,0,NNP
alpha,2.015,BB,0.0055210872326327985,NNP
alpha,2.015,BAg,0,NNP
alpha,2.015,AgAg,0,NNP
alpha,2.025,BB,0.004286722201984619,NNP
alpha,2.025,BAg,0,NNP
alpha,2.025,AgAg,0,NNP
alpha,2.035,BB,0.003150253382942263,NNP
alpha,2.035,BAg,0,NNP
alpha,2.035,AgAg,0,NNP
alpha,2.045,BB,0.0024018749434279903,NNP
alpha,2.045,BAg,0,NNP
alpha,2.045,AgAg,0,NNP
alpha,2.055,BB,0.002041365283102105,NNP
alpha,2.055,BAg,0,NNP
alpha,2.055,AgAg,0,NNP
alpha,2.065,BB,0.00149019409973754,NNP
alpha,2.065,BAg,0,NNP
alpha,2.065,AgAg,0,NNP
alpha,2.075,BB,0.0010419988896118364,NNP
alpha,2.075,BAg,0,NNP
alpha,2.075,AgAg,0,NNP
alpha,2.085,BB,6.410556903813691e-4,NNP
alpha,2.085,BAg,0,NNP
alpha,2.085,AgAg,0,NNP
alpha,2.095,BB,4.535306644583909e-4,NNP
alpha,2.095,BAg,0,NNP
alpha,2.095,AgAg,0,NNP
